area_name,Total,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Block Group 1, Census Tract 311",1391,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,144,0,6,49,119,618,315,115,12
"Block Group 2, Census Tract 311",1076,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,13,21,170,0,309,390,12,3
"Block Group 3, Census Tract 311",1422,11,0,0,0,0,0,0,0,8,0,15,52,0,21,0,51,8,68,84,0,808,232,13,51
"Block Group 1, Census Tract 312",713,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,91,0,314,56,63,52
"Block Group 2, Census Tract 312",1890,6,0,0,0,0,0,0,6,0,6,6,20,7,86,233,591,142,96,288,7,193,69,134,0
"Block Group 3, Census Tract 312",1185,0,0,0,0,0,0,38,0,102,0,0,0,0,36,87,172,13,14,171,28,168,217,0,139
"Block Group 4, Census Tract 312",912,20,0,0,0,0,0,0,0,0,0,105,0,0,23,107,96,0,56,60,9,361,62,0,13
"Block Group 1, Census Tract 313",900,18,0,0,0,0,0,0,0,0,0,0,39,24,12,45,167,32,120,113,11,168,107,9,35
"Block Group 2, Census Tract 313",1199,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,70,13,22,176,85,496,230,46,25
"Block Group 3, Census Tract 313",475,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,17,112,0,0,164,63,31,0
"Block Group 4, Census Tract 313",2588,53,0,0,0,97,0,0,0,74,92,24,19,39,10,51,257,68,129,369,268,719,259,32,28
"Block Group 5, Census Tract 313",1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,43,25,67,234,11,407,235,132,0
"Block Group 1, Census Tract 314",930,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,30,0,31,56,33,458,253,24,30
"Block Group 2, Census Tract 314",462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,52,0,178,105,39,40
"Block Group 3, Census Tract 314",876,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,16,15,119,35,328,238,55,0
"Block Group 4, Census Tract 314",898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,41,44,536,169,22,56
"Block Group 5, Census Tract 314",993,0,0,0,0,0,0,0,0,0,0,19,19,5,24,0,81,12,20,61,80,343,220,78,31
"Block Group 1, Census Tract 315.01",757,24,0,0,0,13,8,0,0,0,11,35,46,19,23,6,131,24,0,82,21,195,102,7,10
"Block Group 2, Census Tract 315.01",1655,0,0,0,0,16,0,44,0,52,0,0,35,24,0,151,315,19,9,180,79,520,166,11,34
"Block Group 3, Census Tract 315.01",962,3,0,0,0,0,0,0,0,0,3,0,22,8,8,22,135,28,32,207,51,279,115,49,0
"Block Group 1, Census Tract 315.02",1076,18,0,0,0,0,0,0,0,26,0,16,0,0,0,71,11,42,0,92,44,497,173,66,20
