"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US170310501001","Block Group 1; Census Tract 501; Cook County; Illinois","397","112","97","50","300","105",
"1500000US170310501002","Block Group 2; Census Tract 501; Cook County; Illinois","763","131","352","98","411","100",
"1500000US170310502001","Block Group 1; Census Tract 502; Cook County; Illinois","374","117","225","93","149","99",
"1500000US170310502002","Block Group 2; Census Tract 502; Cook County; Illinois","1029","199","647","165","382","136",
"1500000US170310502003","Block Group 3; Census Tract 502; Cook County; Illinois","658","141","439","133","219","82",
"1500000US170310503001","Block Group 1; Census Tract 503; Cook County; Illinois","424","90","185","59","239","76",
"1500000US170310503002","Block Group 2; Census Tract 503; Cook County; Illinois","288","81","195","83","93","39",
"1500000US170310503003","Block Group 3; Census Tract 503; Cook County; Illinois","374","117","323","114","51","41",
"1500000US170310505001","Block Group 1; Census Tract 505; Cook County; Illinois","471","144","281","86","190","127",
"1500000US170310505002","Block Group 2; Census Tract 505; Cook County; Illinois","539","142","275","116","264","102",
"1500000US170310505003","Block Group 3; Census Tract 505; Cook County; Illinois","277","78","222","76","55","50",
"1500000US170310505004","Block Group 4; Census Tract 505; Cook County; Illinois","439","216","269","153","170","152",
"1500000US170310505005","Block Group 5; Census Tract 505; Cook County; Illinois","270","95","193","98","77","51",
"1500000US170310506001","Block Group 1; Census Tract 506; Cook County; Illinois","674","132","296","77","378","139",
"1500000US170310506002","Block Group 2; Census Tract 506; Cook County; Illinois","477","81","284","78","193","60",
"1500000US170310507001","Block Group 1; Census Tract 507; Cook County; Illinois","671","170","340","76","331","138",
"1500000US170310508001","Block Group 1; Census Tract 508; Cook County; Illinois","513","76","238","57","275","61",
"1500000US170310509001","Block Group 1; Census Tract 509; Cook County; Illinois","608","101","255","52","353","96",
"1500000US170310510001","Block Group 1; Census Tract 510; Cook County; Illinois","718","71","462","71","256","62",
"1500000US170310511001","Block Group 1; Census Tract 511; Cook County; Illinois","727","159","400","74","327","161",
"1500000US170310512001","Block Group 1; Census Tract 512; Cook County; Illinois","337","70","109","38","228","66",
"1500000US170310512002","Block Group 2; Census Tract 512; Cook County; Illinois","300","71","156","59","144","45",
"1500000US170310513001","Block Group 1; Census Tract 513; Cook County; Illinois","441","86","331","77","110","57",
"1500000US170310513002","Block Group 2; Census Tract 513; Cook County; Illinois","631","138","508","136","123","63",
"1500000US170310514001","Block Group 1; Census Tract 514; Cook County; Illinois","569","84","391","78","178","55",
"1500000US170310514002","Block Group 2; Census Tract 514; Cook County; Illinois","460","87","245","74","215","64",
"1500000US170310601001","Block Group 1; Census Tract 601; Cook County; Illinois","412","108","204","60","208","97",
"1500000US170310601002","Block Group 2; Census Tract 601; Cook County; Illinois","542","129","331","97","211","110",
"1500000US170310601003","Block Group 3; Census Tract 601; Cook County; Illinois","319","78","230","67","89","57",
"1500000US170310602001","Block Group 1; Census Tract 602; Cook County; Illinois","682","139","260","126","422","95",
"1500000US170310602002","Block Group 2; Census Tract 602; Cook County; Illinois","458","76","164","55","294","78",
"1500000US170310603001","Block Group 1; Census Tract 603; Cook County; Illinois","538","100","328","71","210","88",
"1500000US170310603002","Block Group 2; Census Tract 603; Cook County; Illinois","643","131","199","66","444","118",
"1500000US170310604001","Block Group 1; Census Tract 604; Cook County; Illinois","749","132","353","95","396","109",
"1500000US170310604002","Block Group 2; Census Tract 604; Cook County; Illinois","386","129","162","60","224","112",
"1500000US170310604003","Block Group 3; Census Tract 604; Cook County; Illinois","478","110","312","109","166","63",
"1500000US170310605001","Block Group 1; Census Tract 605; Cook County; Illinois","695","80","166","43","529","79",
"1500000US170310608001","Block Group 1; Census Tract 608; Cook County; Illinois","952","157","355","96","597","158",
"1500000US170310608002","Block Group 2; Census Tract 608; Cook County; Illinois","0","12","0","12","0","12",
"1500000US170310608003","Block Group 3; Census Tract 608; Cook County; Illinois","1017","283","676","264","341","164",
"1500000US170310608004","Block Group 4; Census Tract 608; Cook County; Illinois","1629","268","564","167","1065","270",
"1500000US170310609001","Block Group 1; Census Tract 609; Cook County; Illinois","839","256","139","87","700","251",
"1500000US170310609002","Block Group 2; Census Tract 609; Cook County; Illinois","0","12","0","12","0","12",
"1500000US170310609003","Block Group 3; Census Tract 609; Cook County; Illinois","919","241","235","125","684","230",
"1500000US170310609004","Block Group 4; Census Tract 609; Cook County; Illinois","179","132","89","90","90","101",
"1500000US170310609005","Block Group 5; Census Tract 609; Cook County; Illinois","1291","418","800","365","491","219",
"1500000US170310609006","Block Group 6; Census Tract 609; Cook County; Illinois","1567","341","784","326","783","245",
"1500000US170310610001","Block Group 1; Census Tract 610; Cook County; Illinois","1109","123","317","101","792","110",
"1500000US170310611001","Block Group 1; Census Tract 611; Cook County; Illinois","724","134","213","75","511","129",
"1500000US170310612001","Block Group 1; Census Tract 612; Cook County; Illinois","869","80","338","69","531","77",
"1500000US170310615001","Block Group 1; Census Tract 615; Cook County; Illinois","894","89","342","63","552","81",
"1500000US170310618001","Block Group 1; Census Tract 618; Cook County; Illinois","735","129","138","37","597","129",
"1500000US170310619011","Block Group 1; Census Tract 619.01; Cook County; Illinois","509","201","189","105","320","220",
"1500000US170310619012","Block Group 2; Census Tract 619.01; Cook County; Illinois","668","201","234","132","434","184",
"1500000US170310619013","Block Group 3; Census Tract 619.01; Cook County; Illinois","664","150","86","47","578","160",
"1500000US170310619014","Block Group 4; Census Tract 619.01; Cook County; Illinois","752","272","71","53","681","271",
"1500000US170310619021","Block Group 1; Census Tract 619.02; Cook County; Illinois","823","204","360","137","463","153",
"1500000US170310619022","Block Group 2; Census Tract 619.02; Cook County; Illinois","1101","264","358","196","743","209",
"1500000US170310619023","Block Group 3; Census Tract 619.02; Cook County; Illinois","992","229","184","78","808","215",
"1500000US170310619024","Block Group 4; Census Tract 619.02; Cook County; Illinois","0","12","0","12","0","12",
"1500000US170310620001","Block Group 1; Census Tract 620; Cook County; Illinois","1159","140","401","111","758","133",
"1500000US170310620002","Block Group 2; Census Tract 620; Cook County; Illinois","485","124","58","28","427","124",
"1500000US170310621001","Block Group 1; Census Tract 621; Cook County; Illinois","330","131","142","67","188","117",
"1500000US170310621002","Block Group 2; Census Tract 621; Cook County; Illinois","644","152","122","96","522","122",
"1500000US170310621003","Block Group 3; Census Tract 621; Cook County; Illinois","1035","196","302","109","733","198",
"1500000US170310622001","Block Group 1; Census Tract 622; Cook County; Illinois","592","116","340","86","252","94",
"1500000US170310622002","Block Group 2; Census Tract 622; Cook County; Illinois","682","147","410","135","272","83",
"1500000US170310623001","Block Group 1; Census Tract 623; Cook County; Illinois","609","79","359","67","250","55",
"1500000US170310624001","Block Group 1; Census Tract 624; Cook County; Illinois","762","86","499","83","263","71",
"1500000US170310625001","Block Group 1; Census Tract 625; Cook County; Illinois","681","98","450","95","231","71",
"1500000US170310626001","Block Group 1; Census Tract 626; Cook County; Illinois","934","111","641","104","293","75",
"1500000US170310627001","Block Group 1; Census Tract 627; Cook County; Illinois","379","74","166","69","213","64",
