"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US170310314005","Block Group 5, Census Tract 314, Cook County, Illinois","600","110","311","95","289","104",
"1500000US170310314006","Block Group 6, Census Tract 314, Cook County, Illinois","531","108","281","103","250","119",
"1500000US170310315011","Block Group 1, Census Tract 315.01, Cook County, Illinois","500","93","27","22","473","90",
"1500000US170310315012","Block Group 2, Census Tract 315.01, Cook County, Illinois","934","117","283","65","651","117",
"1500000US170310315013","Block Group 3, Census Tract 315.01, Cook County, Illinois","482","108","31","35","451","111",
"1500000US170310315021","Block Group 1, Census Tract 315.02, Cook County, Illinois","716","113","187","81","529","133",
"1500000US170310315022","Block Group 2, Census Tract 315.02, Cook County, Illinois","648","128","92","45","556","135",
"1500000US170310315023","Block Group 3, Census Tract 315.02, Cook County, Illinois","1011","111","59","41","952","113",
"1500000US170310317001","Block Group 1, Census Tract 317, Cook County, Illinois","1188","191","351","137","837","176",
"1500000US170310317002","Block Group 2, Census Tract 317, Cook County, Illinois","876","176","276","97","600","156",
"1500000US170310317003","Block Group 3, Census Tract 317, Cook County, Illinois","848","128","280","83","568","122",
"1500000US170310317004","Block Group 4, Census Tract 317, Cook County, Illinois","705","134","325","89","380","141",
"1500000US170310318001","Block Group 1, Census Tract 318, Cook County, Illinois","978","51","443","61","535","68",
"1500000US170310319001","Block Group 1, Census Tract 319, Cook County, Illinois","632","83","187","60","445","78",
"1500000US170310319002","Block Group 2, Census Tract 319, Cook County, Illinois","638","88","249","57","389","92",
"1500000US170310321001","Block Group 1, Census Tract 321, Cook County, Illinois","905","211","306","108","599","185",
"1500000US170310321002","Block Group 2, Census Tract 321, Cook County, Illinois","556","170","117","98","439","168",
"1500000US170310321003","Block Group 3, Census Tract 321, Cook County, Illinois","1045","267","167","130","878","279",
"1500000US170310321004","Block Group 4, Census Tract 321, Cook County, Illinois","950","315","126","105","824","295",
"1500000US170310321005","Block Group 5, Census Tract 321, Cook County, Illinois","587","156","420","142","167","119",
"1500000US170310401001","Block Group 1, Census Tract 401, Cook County, Illinois","599","98","221","54","378","100",
"1500000US170310401002","Block Group 2, Census Tract 401, Cook County, Illinois","681","90","284","66","397","93",
"1500000US170310401003","Block Group 3, Census Tract 401, Cook County, Illinois","368","65","322","59","46","34",
"1500000US170310402011","Block Group 1, Census Tract 402.01, Cook County, Illinois","677","132","367","110","310","130",
"1500000US170310402012","Block Group 2, Census Tract 402.01, Cook County, Illinois","650","116","187","95","463","116",
"1500000US170310402013","Block Group 3, Census Tract 402.01, Cook County, Illinois","679","123","268","107","411","108",
"1500000US170310402014","Block Group 4, Census Tract 402.01, Cook County, Illinois","988","139","313","116","675","145",
"1500000US170310402021","Block Group 1, Census Tract 402.02, Cook County, Illinois","374","143","153","68","221","133",
"1500000US170310402022","Block Group 2, Census Tract 402.02, Cook County, Illinois","968","232","280","126","688","216",
"1500000US170310402023","Block Group 3, Census Tract 402.02, Cook County, Illinois","709","179","156","78","553","177",
"1500000US170310402024","Block Group 4, Census Tract 402.02, Cook County, Illinois","912","198","214","85","698","207",
"1500000US170310403001","Block Group 1, Census Tract 403, Cook County, Illinois","320","69","264","60","56","49",
"1500000US170310403002","Block Group 2, Census Tract 403, Cook County, Illinois","474","107","205","76","269","108",
"1500000US170310403003","Block Group 3, Census Tract 403, Cook County, Illinois","287","100","211","101","76","40",
"1500000US170310404011","Block Group 1, Census Tract 404.01, Cook County, Illinois","332","77","246","74","86","38",
"1500000US170310404012","Block Group 2, Census Tract 404.01, Cook County, Illinois","291","69","120","45","171","66",
"1500000US170310404013","Block Group 3, Census Tract 404.01, Cook County, Illinois","235","63","123","47","112","58",
"1500000US170310404014","Block Group 4, Census Tract 404.01, Cook County, Illinois","409","84","248","83","161","64",
"1500000US170310404021","Block Group 1, Census Tract 404.02, Cook County, Illinois","261","70","138","62","123","63",
"1500000US170310404022","Block Group 2, Census Tract 404.02, Cook County, Illinois","328","86","63","44","265","77",
"1500000US170310404023","Block Group 3, Census Tract 404.02, Cook County, Illinois","771","139","249","110","522","128",
"1500000US170310404024","Block Group 4, Census Tract 404.02, Cook County, Illinois","296","78","135","63","161","78",
"1500000US170310404025","Block Group 5, Census Tract 404.02, Cook County, Illinois","895","124","317","95","578","128",
"1500000US170310406001","Block Group 1, Census Tract 406, Cook County, Illinois","240","74","123","57","117","59",
"1500000US170310406002","Block Group 2, Census Tract 406, Cook County, Illinois","522","89","149","68","373","87",
"1500000US170310406003","Block Group 3, Census Tract 406, Cook County, Illinois","398","69","129","43","269","67",
"1500000US170310407001","Block Group 1, Census Tract 407, Cook County, Illinois","372","80","176","71","196","51",
"1500000US170310407002","Block Group 2, Census Tract 407, Cook County, Illinois","429","70","218","53","211","67",
"1500000US170310407003","Block Group 3, Census Tract 407, Cook County, Illinois","327","59","200","57","127","60",
"1500000US170310407004","Block Group 4, Census Tract 407, Cook County, Illinois","438","82","115","43","323","90",
"1500000US170310408001","Block Group 1, Census Tract 408, Cook County, Illinois","353","46","132","33","221","43",
"1500000US170310408002","Block Group 2, Census Tract 408, Cook County, Illinois","423","47","222","38","201","43",
"1500000US170310409001","Block Group 1, Census Tract 409, Cook County, Illinois","642","79","194","62","448","81",
"1500000US170310409002","Block Group 2, Census Tract 409, Cook County, Illinois","351","82","201","58","150","71",
"1500000US170310501001","Block Group 1, Census Tract 501, Cook County, Illinois","404","69","156","60","248","66",
"1500000US170310501002","Block Group 2, Census Tract 501, Cook County, Illinois","731","79","320","69","411","71",
"1500000US170310502001","Block Group 1, Census Tract 502, Cook County, Illinois","394","115","327","120","67","51",
"1500000US170310502002","Block Group 2, Census Tract 502, Cook County, Illinois","875","139","518","136","357","112",
"1500000US170310502003","Block Group 3, Census Tract 502, Cook County, Illinois","809","128","478","105","331","100",
"1500000US170310503001","Block Group 1, Census Tract 503, Cook County, Illinois","432","81","152","48","280","73",
"1500000US170310503002","Block Group 2, Census Tract 503, Cook County, Illinois","265","55","181","48","84","40",
"1500000US170310503003","Block Group 3, Census Tract 503, Cook County, Illinois","368","71","215","64","153","56",
"1500000US170310505001","Block Group 1, Census Tract 505, Cook County, Illinois","488","118","428","114","60","47",
"1500000US170310505002","Block Group 2, Census Tract 505, Cook County, Illinois","500","117","218","99","282","96",
"1500000US170310505003","Block Group 3, Census Tract 505, Cook County, Illinois","370","93","199","85","171","61",
"1500000US170310505004","Block Group 4, Census Tract 505, Cook County, Illinois","466","105","312","90","154","86",
"1500000US170310505005","Block Group 5, Census Tract 505, Cook County, Illinois","222","68","154","59","68","49",
"1500000US170310506001","Block Group 1, Census Tract 506, Cook County, Illinois","643","88","373","90","270","75",
"1500000US170310506002","Block Group 2, Census Tract 506, Cook County, Illinois","428","68","268","71","160","63",
"1500000US170310507001","Block Group 1, Census Tract 507, Cook County, Illinois","658","49","512","65","146","41",
"1500000US170310508001","Block Group 1, Census Tract 508, Cook County, Illinois","589","47","235","37","354","54",
"1500000US170310509001","Block Group 1, Census Tract 509, Cook County, Illinois","530","75","233","58","297","55",
"1500000US170310510001","Block Group 1, Census Tract 510, Cook County, Illinois","724","44","429","64","295","62",
"1500000US170310511001","Block Group 1, Census Tract 511, Cook County, Illinois","634","69","359","74","275","66",
"1500000US170310512001","Block Group 1, Census Tract 512, Cook County, Illinois","306","46","153","37","153","37",
"1500000US170310512002","Block Group 2, Census Tract 512, Cook County, Illinois","274","46","111","30","163","43",
"1500000US170310513001","Block Group 1, Census Tract 513, Cook County, Illinois","467","79","292","57","175","74",
"1500000US170310513002","Block Group 2, Census Tract 513, Cook County, Illinois","648","68","532","73","116","54",
"1500000US170310514001","Block Group 1, Census Tract 514, Cook County, Illinois","468","69","284","44","184","56",
"1500000US170310514002","Block Group 2, Census Tract 514, Cook County, Illinois","408","57","250","46","158","56",
"1500000US170310601001","Block Group 1, Census Tract 601, Cook County, Illinois","395","82","161","50","234","76",
"1500000US170310601002","Block Group 2, Census Tract 601, Cook County, Illinois","518","72","241","69","277","82",
"1500000US170310601003","Block Group 3, Census Tract 601, Cook County, Illinois","391","75","270","66","121","58",
"1500000US170310602001","Block Group 1, Census Tract 602, Cook County, Illinois","696","83","185","61","511","79",
"1500000US170310602002","Block Group 2, Census Tract 602, Cook County, Illinois","417","78","151","70","266","77",
"1500000US170310603001","Block Group 1, Census Tract 603, Cook County, Illinois","650","104","340","85","310","102",
"1500000US170310603002","Block Group 2, Census Tract 603, Cook County, Illinois","657","98","286","82","371","110",
"1500000US170310604001","Block Group 1, Census Tract 604, Cook County, Illinois","809","99","291","70","518","90",
"1500000US170310604002","Block Group 2, Census Tract 604, Cook County, Illinois","380","70","186","51","194","62",
"1500000US170310604003","Block Group 3, Census Tract 604, Cook County, Illinois","437","73","279","67","158","68",
"1500000US170310605001","Block Group 1, Census Tract 605, Cook County, Illinois","738","49","153","38","585","55",
"1500000US170310608001","Block Group 1, Census Tract 608, Cook County, Illinois","934","138","401","135","533","124",
"1500000US170310608002","Block Group 2, Census Tract 608, Cook County, Illinois","0","11","0","11","0","11",
"1500000US170310608003","Block Group 3, Census Tract 608, Cook County, Illinois","2254","203","1166","204","1088","215",
"1500000US170310609001","Block Group 1, Census Tract 609, Cook County, Illinois","903","228","148","94","755","215",
"1500000US170310609002","Block Group 2, Census Tract 609, Cook County, Illinois","0","11","0","11","0","11",
"1500000US170310609003","Block Group 3, Census Tract 609, Cook County, Illinois","878","249","300","162","578","211",
"1500000US170310609004","Block Group 4, Census Tract 609, Cook County, Illinois","2537","322","1301","297","1236","292",
"1500000US170310609005","Block Group 5, Census Tract 609, Cook County, Illinois","383","175","66","75","317","151",
"1500000US170310610001","Block Group 1, Census Tract 610, Cook County, Illinois","1113","79","320","83","793","99",
"1500000US170310611001","Block Group 1, Census Tract 611, Cook County, Illinois","622","66","232","57","390","68",
"1500000US170310612001","Block Group 1, Census Tract 612, Cook County, Illinois","810","74","347","62","463","66",
"1500000US170310615001","Block Group 1, Census Tract 615, Cook County, Illinois","842","44","288","48","554","65",
"1500000US170310618001","Block Group 1, Census Tract 618, Cook County, Illinois","706","45","147","36","559","47",
"1500000US170310619011","Block Group 1, Census Tract 619.01, Cook County, Illinois","500","108","147","80","353","95",
"1500000US170310619012","Block Group 2, Census Tract 619.01, Cook County, Illinois","576","100","268","80","308","97",
"1500000US170310619013","Block Group 3, Census Tract 619.01, Cook County, Illinois","585","130","190","105","395","97",
"1500000US170310619014","Block Group 4, Census Tract 619.01, Cook County, Illinois","573","115","76","56","497","126",
"1500000US170310619021","Block Group 1, Census Tract 619.02, Cook County, Illinois","773","140","308","90","465","140",
"1500000US170310619022","Block Group 2, Census Tract 619.02, Cook County, Illinois","1086","163","321","144","765","126",
"1500000US170310619023","Block Group 3, Census Tract 619.02, Cook County, Illinois","962","154","233","85","729","134",
"1500000US170310619024","Block Group 4, Census Tract 619.02, Cook County, Illinois","20","33","0","11","20","33",
"1500000US170310620001","Block Group 1, Census Tract 620, Cook County, Illinois","1165","91","387","83","778","113",
"1500000US170310620002","Block Group 2, Census Tract 620, Cook County, Illinois","429","57","95","39","334","55",
"1500000US170310621001","Block Group 1, Census Tract 621, Cook County, Illinois","432","81","237","66","195","62",
"1500000US170310621002","Block Group 2, Census Tract 621, Cook County, Illinois","438","91","47","51","391","87",
"1500000US170310621003","Block Group 3, Census Tract 621, Cook County, Illinois","1031","110","366","93","665","115",
"1500000US170310622001","Block Group 1, Census Tract 622, Cook County, Illinois","638","111","298","64","340","111",
"1500000US170310622002","Block Group 2, Census Tract 622, Cook County, Illinois","655","90","358","72","297","82",
"1500000US170310623001","Block Group 1, Census Tract 623, Cook County, Illinois","718","40","398","50","320","48",
"1500000US170310624001","Block Group 1, Census Tract 624, Cook County, Illinois","737","54","422","61","315","67",
"1500000US170310625001","Block Group 1, Census Tract 625, Cook County, Illinois","713","55","378","68","335","60",
"1500000US170310626001","Block Group 1, Census Tract 626, Cook County, Illinois","980","52","634","58","346","62",
"1500000US170310627001","Block Group 1, Census Tract 627, Cook County, Illinois","343","66","180","58","163","59",
"1500000US170310627002","Block Group 2, Census Tract 627, Cook County, Illinois","326","70","219","62","107","50",
"1500000US170310627003","Block Group 3, Census Tract 627, Cook County, Illinois","428","75","198","54","230","66",
