"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US170316904004","Block Group 4, Census Tract 6904, Cook County, Illinois","298","107","106","76","43","51","58","49","23","20","7","11","0","11","10","16","0","11","0","11","9","15","0","11","14","21","17","25","0","11","0","11","11","18",
"1500000US170316905001","Block Group 1, Census Tract 6905, Cook County, Illinois","308","56","93","38","51","40","4","5","0","11","13","18","15","23","24","30","15","18","23","36","5","8","23","26","19","25","20","21","0","11","3","4","0","11",
"1500000US170316909001","Block Group 1, Census Tract 6909, Cook County, Illinois","196","84","63","55","0","11","0","11","17","28","0","11","0","11","16","28","10","15","32","50","30","34","9","14","13","21","0","11","0","11","0","11","6","13",
"1500000US170316909002","Block Group 2, Census Tract 6909, Cook County, Illinois","165","69","0","11","18","28","0","11","0","11","14","15","0","11","0","11","0","11","0","11","7","12","52","52","24","27","50","44","0","11","0","11","0","11",
"1500000US170316909003","Block Group 3, Census Tract 6909, Cook County, Illinois","204","86","91","70","11","17","17","26","0","11","0","11","0","11","38","35","0","11","14","22","0","11","0","11","12","18","13","19","0","11","8","15","0","11",
"1500000US170316909004","Block Group 4, Census Tract 6909, Cook County, Illinois","405","123","52","58","30","49","45","55","57","63","33","38","23","28","12","19","10","15","25","28","7","14","0","11","25","39","11","18","11","18","57","63","7","13",
"1500000US170316909005","Block Group 5, Census Tract 6909, Cook County, Illinois","654","157","127","92","48","60","76","80","63","73","0","11","44","41","80","80","0","11","12","18","11","17","86","77","27","35","42","50","26","32","12","18","0","11",
"1500000US170316910001","Block Group 1, Census Tract 6910, Cook County, Illinois","411","122","53","66","11","17","47","67","10","16","50","44","28","44","0","11","0","11","73","73","0","11","11","18","74","67","31","34","10","17","0","11","13","19",
"1500000US170316910002","Block Group 2, Census Tract 6910, Cook County, Illinois","186","84","27","44","0","11","11","16","0","11","36","43","0","11","0","11","33","38","0","11","0","11","9","16","60","47","0","11","10","15","0","11","0","11",
"1500000US170316910003","Block Group 3, Census Tract 6910, Cook County, Illinois","246","84","39","37","97","61","7","13","0","11","0","11","0","11","13","21","0","11","0","11","21","25","23","34","15","22","25","28","0","11","6","12","0","11",
"1500000US170316910004","Block Group 4, Census Tract 6910, Cook County, Illinois","180","65","16","21","0","11","0","11","7","13","0","11","29","34","30","36","0","11","0","11","12","20","8","12","11","17","30","33","9","15","10","20","18","22",
"1500000US170316911001","Block Group 1, Census Tract 6911, Cook County, Illinois","230","72","80","57","11","15","8","14","36","39","15","24","9","15","11","17","0","11","0","11","0","11","0","11","47","42","0","11","0","11","13","21","0","11",
"1500000US170316911002","Block Group 2, Census Tract 6911, Cook County, Illinois","236","84","53","48","30","42","24","37","0","11","0","11","0","11","23","36","28","34","0","11","22","35","41","47","0","11","0","11","0","11","15","22","0","11",
"1500000US170316911003","Block Group 3, Census Tract 6911, Cook County, Illinois","203","70","14","19","26","38","0","11","16","23","0","11","24","29","0","11","24","27","11","19","19","30","16","26","41","34","0","11","12","18","0","11","0","11",
