"GEO_ID","NAME","POPGROUP","POPGROUP_LABEL","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Race/Ethnic Group","Population Groups","Estimate!!Total","Margin of Error!!Total",
"1400000US17031071300","Census Tract 713; Cook County; Illinois","001","Total population","3996","526",
"1400000US17031071300","Census Tract 713; Cook County; Illinois","003","White alone or in combination with one or more other races","3417","558",
"1400000US17031071400","Census Tract 714; Cook County; Illinois","001","Total population","4799","726",
"1400000US17031071400","Census Tract 714; Cook County; Illinois","003","White alone or in combination with one or more other races","4208","683",
"1400000US17031071500","Census Tract 715; Cook County; Illinois","001","Total population","6110","671",
"1400000US17031071500","Census Tract 715; Cook County; Illinois","003","White alone or in combination with one or more other races","5272","616",
"1400000US17031071600","Census Tract 716; Cook County; Illinois","001","Total population","1969","324",
"1400000US17031071600","Census Tract 716; Cook County; Illinois","003","White alone or in combination with one or more other races","1616","354",
"1400000US17031071700","Census Tract 717; Cook County; Illinois","001","Total population","1628","257",
"1400000US17031071700","Census Tract 717; Cook County; Illinois","003","White alone or in combination with one or more other races","1281","205",
"1400000US17031071800","Census Tract 718; Cook County; Illinois","001","Total population","2752","427",
"1400000US17031071800","Census Tract 718; Cook County; Illinois","003","White alone or in combination with one or more other races","2178","375",
"1400000US17031080100","Census Tract 801; Cook County; Illinois","001","Total population","6886","853",
"1400000US17031080100","Census Tract 801; Cook County; Illinois","003","White alone or in combination with one or more other races","6284","826",
"1400000US17031080201","Census Tract 802.01; Cook County; Illinois","001","Total population","3199","501",
"1400000US17031080201","Census Tract 802.01; Cook County; Illinois","003","White alone or in combination with one or more other races","2911","501",
"1400000US17031080202","Census Tract 802.02; Cook County; Illinois","001","Total population","3758","501",
"1400000US17031080202","Census Tract 802.02; Cook County; Illinois","003","White alone or in combination with one or more other races","3467","488",
"1400000US17031080300","Census Tract 803; Cook County; Illinois","001","Total population","5018","665",
"1400000US17031080300","Census Tract 803; Cook County; Illinois","003","White alone or in combination with one or more other races","4035","612",
"1400000US17031080400","Census Tract 804; Cook County; Illinois","001","Total population","4699","968",
"1400000US17031080400","Census Tract 804; Cook County; Illinois","003","White alone or in combination with one or more other races","2041","535",
